N,tau,A,R,phi,ACBO,tauCBO,omegaCBO,phiCBO
0.0001049905355801963,2.1492755681404436e-08,2.1015598262382598e-10,1.3356483106755796e-05,1.8157202098133758e-09,3.654848368395136e-10,4.5773163037665654e-11,2.15223258153422e-10,3.614006880217624e-13
0.00011153991653410022,2.2889927292123705e-08,2.0910947744305995e-10,1.4307713988609384e-05,1.962386171314407e-09,1.0469873579221911e-09,2.4518280497431988e-05,6.245202447906237e-10,5.316143374123339e-08
0.00011280267226622574,2.2801718420500908e-08,2.1406715284038247e-10,1.3743437822700739e-05,1.875663785688364e-09,1.0558665053395089e-09,2.3599769889415256e-05,6.086234231400253e-10,5.241609518646939e-08
0.00011158510856758267,2.2324189786654225e-08,2.1415965838631013e-10,1.3644193452048089e-05,1.8909440490565287e-09,1.028408580516782e-09,2.351172670955748e-05,6.013028226415773e-10,5.2723974797164175e-08
0.00011027729988930188,2.220417539939118e-08,2.137497567363956e-10,1.35997050446523e-05,1.8641358138807727e-09,3.820158633871529e-10,3.1894842322799377e-10,5.856638593025498e-10,5.024039773093847e-08
0.00010864132182345742,2.2047418113746483e-08,2.1114625286615532e-10,1.3779346460149227e-05,1.8773198162227533e-09,3.7468658731221183e-10,3.440305818003253e-10,5.782516788736694e-10,5.083983634079914e-08
0.00010695459587465156,2.19410834579979e-08,2.089152610782194e-10,1.3675134097542287e-05,1.8838215764294276e-09,1.0348437107232655e-09,2.4658612858274864e-05,5.721517785151212e-10,4.848299772763909e-08
0.00010631803577850557,2.166818682109344e-08,2.061647613462459e-10,1.3208560767643408e-05,1.8346629118826702e-09,1.0294673169486401e-09,2.3745646757333816e-05,5.682023778622024e-10,4.92557853393194e-08
0.00011068925217812958,2.2522613473277255e-08,2.1306981307192915e-10,1.3641168333196004e-05,1.872629468818764e-09,1.0432850972019736e-09,2.6075018027427177e-05,5.901080573427446e-10,5.120641821676486e-08
0.00011052521344378648,2.236502652040568e-08,2.115365050898911e-10,1.3908819179827804e-05,1.914225198165738e-09,3.787201663385531e-10,2.5565327632648405e-11,5.827605081616954e-10,5.1914282650500354e-08
0.00011250779203415861,2.303666705144524e-08,2.1221426773821462e-10,1.4536894965686076e-05,2.0140523873572297e-09,1.0873885403217542e-09,2.44732239593759e-05,6.196649266456752e-10,5.347172815639567e-08
0.00010090807882630502,2.091938392471505e-08,2.1022979559002245e-10,7.986914406682205e-06,1.0941871647181736e-09,8.842896415117707e-10,2.2451944076351538e-05,5.920968102610673e-10,5.0872355439324224e-08
0.00010829059772804894,2.2246814375006845e-08,2.1282366758316936e-10,1.3857392897850545e-05,1.894330081946087e-09,1.0184982301986167e-09,2.3091834762567487e-05,5.92587253738376e-10,5.012740333931731e-08
0.0001067652548204176,2.1932839274788232e-08,2.1023900829267533e-10,1.3750261104280104e-05,1.912064263076531e-09,3.701556838819897e-10,9.482903351454297e-11,5.793415769836508e-10,4.9700175752676046e-08
0.00010790119639439936,2.218108244651267e-08,2.0560074362146668e-10,1.4181814434574797e-05,1.94713001252328e-09,9.529136646424519e-10,2.5025951146062653e-05,5.893270184501851e-10,5.047139084446428e-08
0.00010435908224164719,2.1175037977097634e-08,2.0313910066301706e-10,1.3292532883662285e-05,1.8639535904449293e-09,9.167384629193975e-10,2.0733363882641243e-05,5.714510722966493e-10,4.918054719027509e-08
0.00010777159839902645,2.1753880622602302e-08,2.0698530372343716e-10,1.3819073234662329e-05,1.9255103811915375e-09,3.723226171814531e-10,3.97051280742744e-11,5.830093454643551e-10,5.088808663344935e-08
4.3921142073556595e-05,9.600222030516774e-09,2.0939597345235012e-10,1.3807431445259732e-05,1.915405791164075e-09,3.9316763733587834e-10,1.1750955764000537e-10,5.670723058931341e-10,4.9150564951361275e-08
0.00010780221627588752,2.1892194146928384e-08,2.0297729962242475e-10,1.3487288137088492e-05,1.8481526945705688e-09,9.949502055572879e-10,2.5321348886109263e-05,5.741454725842587e-10,4.985078483343841e-08
0.00011401885118253993,2.2984302666097762e-08,2.1397860135366793e-10,1.4104249805872584e-05,1.9287931654725475e-09,1.1042925185389407e-09,2.5375436010222074e-05,6.088125850492864e-10,5.259170166027616e-08
0.00011111351250662517,2.26179652768791e-08,2.136709772771377e-10,1.3613471983310164e-05,1.8847602771756137e-09,1.042644776072521e-09,2.4643685677006033e-05,6.004853004747625e-10,5.213844289642111e-08
0.00010934905182723761,2.2149453238166594e-08,2.1052227843492794e-10,1.3661030111547858e-05,1.881600478500838e-09,3.75250608364297e-10,2.376054908381775e-11,5.851673373013091e-10,5.164203686902624e-08
0.00011255504235128823,2.273370550500897e-08,2.1247100131669268e-10,1.4154033468641579e-05,1.941453822213256e-09,1.0964535113178187e-09,2.3697819671042453e-05,5.964089006855506e-10,5.149779802593457e-08
0.0001080087167195612,2.2041518204661376e-08,2.061361659766276e-10,1.3859016267467197e-05,1.883778876621828e-09,9.896097830086603e-10,2.412495621229027e-05,6.108294971306683e-10,5.2875339218161344e-08
