Calorimeter Number,Global Bin,Run Number,SubRun Number,Event Number,Counts
1,1593700270003,15937,27,3,22
1,1593700270005,15937,27,5,35
1,1593700270007,15937,27,7,29
1,1593700270009,15937,27,9,32
1,1593700270011,15937,27,11,19
1,1593700270014,15937,27,14,17
1,1593700270016,15937,27,16,27
1,1593700270018,15937,27,18,37
1,1593700270022,15937,27,22,24
1,1593700270024,15937,27,24,35
1,1593700270026,15937,27,26,36
1,1593700270028,15937,27,28,23
1,1593700270031,15937,27,31,14
1,1593700270033,15937,27,33,25
1,1593700270035,15937,27,35,26
1,1593700270037,15937,27,37,23
1,1593700270041,15937,27,41,28
1,1593700270043,15937,27,43,33
1,1593700270045,15937,27,45,14
1,1593700270048,15937,27,48,22
1,1593700270050,15937,27,50,28
1,1593700270052,15937,27,52,37
1,1593700270054,15937,27,54,33
1,1593700270056,15937,27,56,31
1,1593700270060,15937,27,60,28
1,1593700270062,15937,27,62,15
1,1593700270065,15937,27,65,26
1,1593700270067,15937,27,67,25
1,1593700270069,15937,27,69,23
1,1593700270071,15937,27,71,22
1,1593700270073,15937,27,73,22
1,1593700270075,15937,27,75,37
1,1593700270079,15937,27,79,21
1,1593700270082,15937,27,82,34
1,1593700270084,15937,27,84,35
1,1593700270086,15937,27,86,34
1,1593700270088,15937,27,88,25
1,1593700270090,15937,27,90,40
1,1593700270092,15937,27,92,29
1,1593700270094,15937,27,94,18
1,1593700270099,15937,27,99,15
1,1593700270101,15937,27,101,25
1,1593700270103,15937,27,103,21
1,1593700270105,15937,27,105,32
1,1593700270107,15937,27,107,19
1,1593700270109,15937,27,109,18
1,1593700270111,15937,27,111,27
1,1593700270113,15937,27,113,21
1,1593700270118,15937,27,118,35
1,1593700270120,15937,27,120,33
1,1593700270122,15937,27,122,19
1,1593700270124,15937,27,124,23
1,1593700270126,15937,27,126,31
1,1593700270128,15937,27,128,32
1,1593700270130,15937,27,130,18
1,1593700270133,15937,27,133,15
1,1593700270137,15937,27,137,23
1,1593700270139,15937,27,139,28
1,1593700270141,15937,27,141,33
1,1593700270143,15937,27,143,23
1,1593700270145,15937,27,145,20
1,1593700270147,15937,27,147,26
1,1593700270150,15937,27,150,16
1,1593700270152,15937,27,152,22
1,1593800200003,15938,20,3,29
1,1593800200005,15938,20,5,34
1,1593800200009,15938,20,9,18
1,1593800200011,15938,20,11,19
1,1593800200013,15938,20,13,33
1,1593800200015,15938,20,15,33
1,1593800200017,15938,20,17,22
1,1593800200020,15938,20,20,25
1,1593800200022,15938,20,22,30
1,1593800200024,15938,20,24,29
1,1593800200028,15938,20,28,31
1,1593800200030,15938,20,30,37
1,1593800200032,15938,20,32,20
1,1593800200034,15938,20,34,13
1,1593800200037,15938,20,37,15
1,1593800200039,15938,20,39,42
1,1593800200041,15938,20,41,18
1,1593800200043,15938,20,43,23
1,1593800200047,15938,20,47,34
1,1593800200049,15938,20,49,27
1,1593800200051,15938,20,51,17
1,1593800200054,15938,20,54,35
1,1593800200056,15938,20,56,33
1,1593800200058,15938,20,58,20
1,1593800200060,15938,20,60,16
1,1593800200062,15938,20,62,33
1,1593800200066,15938,20,66,29
1,1593800200068,15938,20,68,28
1,1593800200071,15938,20,71,21
1,1593800200073,15938,20,73,36
1,1593800200075,15938,20,75,28
1,1593800200077,15938,20,77,23
1,1593800200079,15938,20,79,28
1,1593800200081,15938,20,81,14
1,1593800200085,15938,20,85,28
1,1593800200088,15938,20,88,27
1,1593800200090,15938,20,90,27
1,1593800200092,15938,20,92,19
1,1593800200094,15938,20,94,18
1,1593800200096,15938,20,96,22
1,1593800200098,15938,20,98,31
