CaloAX,CaloAY,CaloBX,CaloBY,StartingCalo
1.5,3.5,4.5,4.5,3
0.5,1.5,4.5,0.5,3
0.5,0.5,0.5,1.5,3
0.5,0.5,8.5,0.5,3
8.5,4.5,3.5,5.5,4
0.5,1.5,4.5,0.5,4
0.5,4.5,4.5,5.5,4
0.5,1.5,2.5,2.5,5
2.5,1.5,5.5,2.5,5
0.5,3.5,2.5,5.5,5
1.5,4.5,6.5,2.5,5
0.5,4.5,2.5,2.5,5
2.5,2.5,4.5,5.5,6
0.5,1.5,0.5,4.5,6
5.5,2.5,7.5,5.5,6
1.5,0.5,3.5,2.5,8
0.5,2.5,2.5,1.5,8
0.5,3.5,3.5,3.5,8
2.5,1.5,7.5,2.5,8
0.5,1.5,2.5,3.5,8
1.5,3.5,3.5,2.5,8
0.5,3.5,0.5,4.5,8
3.5,2.5,7.5,3.5,9
2.5,1.5,6.5,0.5,9
3.5,2.5,7.5,0.5,9
0.5,4.5,3.5,4.5,9
0.5,4.5,5.5,5.5,9
1.5,1.5,3.5,1.5,9
1.5,2.5,6.5,3.5,10
0.5,0.5,3.5,1.5,10
3.5,2.5,7.5,2.5,11
0.5,1.5,5.5,0.5,11
3.5,1.5,6.5,2.5,11
2.5,2.5,7.5,1.5,11
6.5,2.5,6.5,3.5,12
1.5,4.5,2.5,3.5,13
1.5,3.5,5.5,0.5,17
8.5,2.5,0.5,1.5,17
0.5,2.5,2.439307545532103,1.9696537727660517,19
2.5,4.5,5.5,4.5,21
5.5,4.5,7.5,4.5,22
0.5,4.5,3.5,2.5,22
4.5,0.5,7.5,1.5,22
0.5,5.5,3.5,3.5,23
0.5,4.5,1.5,4.5,23
1.5,4.5,6.5,5.5,24
2.5,2.5,7.5,0.5,24
1.5,1.5,4.5,1.5,1
2.5,3.5,5.5,4.5,1
3.5,1.5,7.5,3.5,1
0.5,4.5,7.5,3.5,3
1.5,1.5,3.5,2.5,3
0.5,1.5,5.5,1.5,3
0.5,1.5,2.5,3.5,3
1.5,5.5,4.5,5.5,3
0.5,3.5,1.5,3.5,3
0.5,2.5,2.5,2.5,3
0.5,4.5,5.5,4.5,3
3.5,2.5,7.5,4.5,4
0.5,0.5,2.5,0.5,4
0.5,3.5,3.5,4.5,4
1.5,3.5,5.5,5.5,4
0.5,3.5,3.5,5.5,5
0.5,2.5,6.5,1.5,5
0.5,2.5,2.5,3.5,6
0.5,1.5,2.5,0.5,6
0.5,3.5,3.5,4.5,6
0.5,3.5,4.5,3.5,7
0.5,5.5,4.5,3.5,7
