CaloAX,CaloAY,CaloBX,CaloBY,CaloCX,CaloCY,CaloDX,CaloDY,StartingCalo
0.5,0.5,3.5,1.5,6.5,2.5,6.5,3.5,10
0.5,1.5,1.5,1.5,4.5,1.5,8.5,0.5,11
0.5,1.5,3.5,2.5,6.5,4.5,7.5,4.5,3
0.5,3.5,1.5,1.5,6.5,1.5,8.5,0.5,8
0.5,2.5,2.5,3.5,4.5,3.5,5.5,2.5,4
1.5,2.5,2.5,3.5,3.9742810416378527,3.5,4.5,4.5,8
5.5,2.5,8.5,2.5,0.5,3.5,4.5,3.5,8
0.5,2.5,2.5,2.5,6.5,3.5,8.5,5.5,3
0.5,1.5,1.5,2.5,3.5,3.5,7.994696901028159,5.00530309897184,20
0.5,3.5,0.5,3.5,5.5,3.5,7.5,5.5,1
0.5,2.5,2.5,1.5,4.5,2.5,5.5,2.5,8
3.5,1.5,7.5,0.5,0.5,4.5,1.5,4.5,4
7.5,0.5,0.5,4.5,1.5,4.5,7.5,4.5,5
0.5,1.5,3.5,2.5,5.5,3.5,6.5,2.5,8
3.5,2.5,5.5,3.5,6.5,2.5,7.5,1.5,9
1.5,3.5,4.5,3.5,6.5,4.5,5.5,4.5,10
0.5,3.5,1.5,1.5,4.5,1.5,7.5,1.5,7
0.5,0.5,2.5,0.5,0.5,2.5,3.5,1.5,8
0.5,1.5,3.5,2.5,3.5,3.5,5.5,4.5,10
0.5,3.5,1.5,2.5,4.5,1.5,1.5,0.5,11
0.5,1.5,0.5,2.5,2.5,3.5,8.5,4.5,22
0.5,5.5,2.5,2.5,1.5,2.5,5.5,4.5,6
0.5,1.5,3.5,2.5,6.5,3.011722602221101,8.5,1.5,18
0.5,2.5,3.5,2.5,8.5,2.5,7.5,0.5,4
0.5,3.5,1.5,4.5,2.5,4.5,6.5,2.5,5
0.5,4.5,1.5,4.5,5.5,3.5,6.5,3.5,1
1.5,4.5,5.5,3.5,6.5,3.5,6.5,4.5,2
1.5,1.5,1.5,0.5,5.5,1.5,8.5,2.5,8
1.5,3.5,4.5,2.5,8.5,2.5,8.5,2.5,8
2.5,1.5,5.5,2.5,7.5,2.5,5.5,5.5,16
0.5,4.5,0.5,4.5,1.5,3.5,6.5,3.5,7
7.5,2.5,7.5,5.5,1.5,1.5,7.5,4.5,9
0.5,3.5,6.5,3.5,3.4999999999999996,2.508026144129173,5.5,2.5,1
6.5,3.5,3.4999999999999996,2.508026144129173,5.5,2.5,7.5,0.5,2
1.5,4.5,5.5,3.5,7.5,2.5,5.5,5.5,5
0.5,3.5,0.5,4.5,5.5,4.5,8.5,1.5,23
0.5,2.5,1.5,2.5,7.5,2.5,8.5,2.5,23
0.5,3.5,0.5,3.5,0.5,2.5,5.5,1.5,7
0.5,3.5,0.5,2.5,5.5,1.5,8.5,2.5,8
0.5,3.5,2.5,4.5,6.5,4.5,7.5,4.5,22
0.5,4.5,0.5,3.5,2.5,3.5,8.5,1.5,4
0.5,2.5,4.5,2.5,7.5,0.5,0.5,2.5,21
4.5,2.5,7.5,0.5,0.5,2.5,3.5,2.5,22
0.5,1.5,1.5,3.5,3.5,4.5,7.5,5.5,23
0.5,5.5,3.5,4.5,8.5,2.5,8.5,2.5,6
3.5,4.5,8.5,2.5,8.5,2.5,6.5,1.5,7
0.5,2.5,0.5,2.5,1.5,2.5,5.5,1.5,7
0.5,1.5,0.5,1.5,8.5,1.5,7.5,3.5,1
1.5,2.5,2.5,3.5,2.5,2.5,7.5,5.5,7
0.5,2.5,1.5,1.5,3.5,1.5,6.5,2.5,11
1.5,1.5,3.5,1.5,6.5,2.5,8.5,2.5,12
3.5,1.5,6.5,2.5,8.5,2.5,6.5,2.5,13
1.5,0.5,0.5,2.5,2.5,1.5,7.5,0.5,2
0.5,1.5,3.5,1.5,8.5,1.5,8.5,1.5,6
1.5,3.5,4.5,5.5,7.5,3.5,6.5,1.5,10
0.5,2.5,1.5,3.5,4.5,3.5,8.5,5.5,7
1.5,1.5,6.5,2.5,8.5,2.5,6.5,2.5,8
2.5,1.5,6.5,1.5,0.5,1.5,4.5,1.5,10
0.5,4.5,2.5,2.5,5.5,2.5,8.5,0.5,21
4.5,3.5,7.5,2.5,8.5,2.5,6.5,4.5,7
0.5,2.5,2.5,2.5,6.5,3.5,8.5,5.5,4
3.5,2.5,6.5,4.5,0.5,0.5,6.5,0.5,10
0.5,2.5,2.5,4.5,3.5,4.5,8.5,4.5,10
0.5,2.5,2.5,3.5,8.5,3.5,8.024833626348304,5.5,17
0.5,4.5,0.5,4.5,2.5,3.5,3.5,2.5,6
0.5,2.5,1.5,2.5,3.5,1.5,7.5,0.5,7
0.5,4.5,2.5,3.5,3.5,2.5,8.5,2.5,7
0.5,4.5,1.5,5.5,7.5,3.5,8.5,3.5,21
1.5,5.5,7.5,3.5,8.5,3.5,6.5,1.5,22
0.5,5.5,2.5,4.5,8.5,4.5,7.5,4.5,23
1.5,4.5,0.5,4.5,3.5,3.5,7.5,4.5,4
2.5,2.5,6.5,3.5,0.5,3.5,1.5,2.5,8
6.5,3.5,0.5,3.5,1.5,2.5,2.5,0.5,9
0.5,3.5,4.5,4.5,7.5,4.5,8.5,5.5,10
0.5,4.5,2.5,4.5,5.5,4.5,7.9936122380103525,5.5,12
0.5,2.5,3.5,3.5,7.5,4.5,7.5,5.5,23
2.5,4.5,5.5,3.5,7.5,2.5,7.008418394607895,3.5,11
0.5,1.5,2.5,0.5,2.5,1.5,4.5,1.5,5
0.5,4.5,0.5,5.5,2.5,3.5,6.5,2.5,8
4.5,3.5,1.5,5.5,4.5,4.5,6.5,5.5,9
1.5,3.5,4.5,3.5,8.5,4.5,6.5,3.5,10
4.5,3.5,8.5,4.5,6.5,3.5,3.5,0.5,11
0.5,5.5,3.5,4.5,8.5,3.5,6.5,0.5,5
0.5,3.5,4.5,4.5,8.5,3.5,7.034468858480637,0.5,6
1.5,2.5,3.5,4.5,0.5,3.5,2.5,5.5,8
0.5,3.5,2.5,3.5,5.951896389277705,3.4999999999999996,6.5,5.5,10
0.5,2.5,2.5,2.5,7.5,3.5,8.5,2.5,4
1.5,2.5,4.5,2.5,8.5,3.5,8.5,3.5,8
1.5,1.5,1.5,1.5,4.5,2.5,8.5,4.5,8
1.5,1.5,4.5,2.5,8.5,4.5,8.5,3.5,9
4.5,2.5,8.5,4.5,8.5,3.5,8.5,5.5,10
0.5,4.5,4.5,4.5,8.5,3.5,6.5,4.5,12
0.5,3.5,2.5,4.5,7.5,5.5,3.5,2.5,3
2.5,4.5,7.5,5.5,3.5,2.5,6.5,1.5,4
1.5,3.5,2.5,3.5,5.5,3.5,6.5,1.5,3
1.5,2.5,4.5,3.5,6.5,3.5,6.5,5.5,3
2.5,2.5,2.5,1.5,3.5,2.5,8.5,4.5,4
0.5,2.5,3.5,2.5,7.5,3.5,7.5,1.5,4
0.5,0.5,1.5,2.5,5.5,3.5,8.5,5.5,10
3.5,2.5,7.5,3.5,7.5,3.5,6.5,4.5,7
1.5,1.5,3.5,2.5,5.5,2.5,7.5,2.5,11
0.5,1.5,3.5,3.5,8.5,3.5,8.5,3.5,11
0.5,3.5,1.5,3.5,2.5,4.5,6.5,5.5,5
0.5,1.5,3.5,2.5,6.5,2.5,8.5,1.5,11
0.5,2.5,2.5,2.5,7.5,3.5,8.5,3.5,13
0.5,3.5,1.5,3.5,1.5,4.5,6.5,5.5,22
0.5,3.5,3.5,3.5,7.5,4.5,8.5,3.5,11
0.5,1.5,3.5,2.5,6.5,2.5,7.500000000000001,1.0194649940700047,19
0.5,1.5,0.5,1.5,1.5,2.5,4.5,2.5,11
0.5,1.5,1.5,2.5,4.5,2.5,8.5,0.5,12
0.5,3.5,0.5,2.5,2.5,2.5,7.5,1.5,6
2.5,3.5,8.5,3.5,8.5,3.5,5.5,2.5,7
0.5,4.5,1.5,3.5,3.5,3.5,7.5,4.5,12
0.5,1.5,2.5,2.5,4.5,3.5,8.5,4.5,4
0.5,2.5,0.5,2.5,3.5,3.5,7.5,4.5,7
2.5,4.5,4.5,3.5,6.5,1.5,7.5,0.5,10
0.5,2.5,2.5,2.5,4.5,3.5,5.5,5.5,23
5.5,1.5,7.5,2.5,8.5,3.5,5.5,2.5,1
7.5,2.5,8.5,3.5,5.5,2.5,6.5,2.5,2
0.5,2.5,0.5,2.5,2.5,2.5,5.5,3.5,10
0.5,3.5,1.5,3.5,5.5,2.5,5.5,4.5,23
1.5,3.5,1.5,3.5,7.5,3.5,8.5,5.022972328848686,1
1.5,1.5,5.5,2.5,0.5,3.5,1.5,3.5,6
1.5,3.5,1.5,3.5,1.5,3.5,7.5,3.5,24
