CaloAX,CaloAY,CaloBX,CaloBY,CaloCX,CaloCY,CaloDX,CaloDY,StartingCalo
1.5,4.5,1.5,4.5,5.5,2.5,8.5,2.5,5
1.5,4.5,5.5,2.5,8.5,2.5,6.5,2.5,6
0.5,2.5,1.5,3.5,2.5,3.5,6.5,3.5,7
0.5,1.5,2.5,1.5,4.5,2.5,8.5,5.5,7
2.5,3.5,6.5,3.5,6.5,2.5,0.5,0.5,3
0.5,3.5,1.5,2.5,2.5,3.5,6.5,4.5,6
0.5,3.5,1.5,5.5,1.5,1.5,3.5,1.5,8
0.5,3.5,2.5,3.5,2.5,5.5,8.5,5.5,9
2.5,3.5,3.5,2.5,5.5,2.5,7.0635568071332075,0.5,21
1.5,3.5,4.5,2.5,6.5,2.5,7.5,3.5,4
4.5,2.5,6.5,2.5,7.5,3.5,7.5,2.5,5
0.5,2.5,0.5,2.5,4.5,2.5,6.5,0.5,6
1.5,2.5,4.5,2.5,7.5,2.5,6.5,2.5,12
0.5,1.5,0.5,1.5,3.5,2.5,0.5,1.5,13
0.5,4.5,1.5,3.5,4.5,4.5,8.5,5.5,13
2.5,0.5,4.5,0.5,7.5,2.5,7.5,1.5,3
0.5,0.5,0.5,2.5,3.5,3.5,8.5,5.5,8
0.5,3.5,1.5,4.5,3.5,5.5,7.5,5.5,6
0.5,4.5,2.5,4.5,6.5,4.5,8.5,2.5,7
4.5,4.5,8.5,3.5,6.5,3.5,5.5,2.5,1
5.5,3.5,6.5,3.5,5.5,1.5,6.5,2.5,10
1.5,2.5,3.5,3.5,6.5,4.5,7.5,5.5,10
6.5,3.5,5.5,1.5,6.5,2.5,8.5,1.5,11
0.5,5.5,4.5,4.5,8.5,3.5,6.5,3.5,24
0.5,4.5,1.5,2.5,1.5,0.5,6.5,0.5,7
1.5,2.5,8.5,1.5,8.5,1.5,6.5,0.5,2
1.5,3.5,4.5,3.5,7.5,2.5,7.5,3.5,4
4.5,3.5,7.5,2.5,7.5,3.5,8.5,4.5,5
0.5,3.5,2.5,1.5,5.5,1.5,7.5,0.5,7
0.5,3.5,2.5,3.5,5.5,3.5,7.5,2.5,12
1.5,2.5,5.5,3.5,5.5,3.5,7.5,1.5,24
0.5,2.5,2.5,2.5,7.5,2.5,6.5,0.5,10
0.5,2.5,2.5,2.5,4.5,3.5,7.5,2.5,12
0.5,0.5,0.5,1.5,0.5,1.5,5.5,1.5,11
0.5,2.5,0.5,1.5,2.5,0.5,6.5,1.5,23
0.5,2.5,0.5,1.5,3.5,0.5,8.5,0.5,10
2.5,1.5,3.5,1.5,5.5,1.5,6.5,0.5,3
8.5,1.5,0.5,1.5,1.5,0.5,3.5,0.5,6
0.5,3.5,0.5,3.5,3.5,1.5,7.5,1.5,13
1.5,1.5,3.5,2.5,5.5,3.5,8.5,2.5,22
1.5,4.5,1.5,2.5,3.5,2.5,8.5,0.5,10
0.5,3.5,0.5,2.5,4.5,2.5,7.5,3.5,23
0.5,2.5,4.5,4.5,8.5,4.5,6.5,4.5,23
0.5,3.5,0.5,2.5,0.5,3.5,5.5,4.5,24
2.5,3.5,2.5,2.5,1.5,2.5,3.5,1.5,1
1.5,1.5,7.5,2.5,8.5,2.5,3.5,2.5,9
7.5,2.5,8.5,2.5,3.5,2.5,1.5,1.5,10
3.5,3.5,7.5,3.5,7.5,3.5,4.5,4.5,1
0.5,4.5,0.5,2.5,1.5,0.5,4.5,0.5,7
0.5,3.5,1.5,3.5,4.5,2.5,7.5,2.5,15
0.5,3.5,0.5,5.5,1.5,3.5,4.5,3.5,23
0.5,2.5,0.5,4.5,3.5,4.5,8.5,4.5,1
1.5,2.5,4.5,3.5,7.5,2.5,6.5,1.5,11
