Calorimeter Number,Mean,StDev
1,3.025971525682597,1.136706820852216
2,2.9786241715947797,1.2540651061806485
3,3.0785191655490114,1.1923839701918166
4,3.031554251446816,1.1940285544376439
5,3.136399125025057,1.228652227202424
6,3.0761985318419955,1.1835896040194254
7,3.099213430662379,1.1737984533741475
8,3.059044908821998,1.1974841224973947
9,2.9941849366575997,1.2083085425861662
10,3.034491537240644,1.1814673257846708
11,2.9966867492894234,1.143117314389127
12,2.9917353236674296,1.146383171054923
13,3.0277719939293566,1.011345145633409
14,3.012160273432432,1.1538871848882024
15,3.034796905382128,1.1619345405219221
16,2.992380675809231,1.1819128521340456
17,3.0198865939658526,1.1600064376212287
18,3.050571938326564,1.1363528103793559
19,2.9848302697164875,1.0173366713463645
20,3.0354098347794722,1.169946368046371
21,3.036265432098784,1.1830318529506845
22,3.075452762528877,1.2134613754938124
23,3.000335636752301,1.1619967905884387
24,3.046221591085072,1.1694826270972092
